Shots on Goal (home),Shots off Goal (home),Total Shots (home),Blocked Shots (home),Shots insidebox (home),Shots outsidebox (home),Fouls (home),Corner Kicks (home),Offsides (home),Ball Possession (home),Yellow Cards (home),Red Cards (home),Goalkeeper Saves (home),Total passes (home),Passes accurate (home),Passes % (home),Shots on Goal (away),Shots off Goal (away),Total Shots (away),Blocked Shots (away),Shots insidebox (away),Shots outsidebox (away),Fouls (away),Corner Kicks (away),Offsides (away),Ball Possession (away),Yellow Cards (away),Red Cards (away),Goalkeeper Saves (away),Total passes (away),Passes accurate (away),Passes % (away)
3,2,7,2,4,3,0,3,0,0.42,4,0,2,391,310,0.79,1,4,9,4,6,4,0,1,1,0.5,2,0,4,487,401,0.82
4,7,14,3,10,4,0,6,3,0.44,4,0,2,389,309,0.79,5,3,10,2,6,4,0,8,4,0.66,1,0,3,558,451,0.81
4,2,8,2,4,4,0,4,1,0.39,3,0,6,359,256,0.71,8,8,20,4,16,4,0,6,0,0.44,2,0,3,342,250,0.73
10,2,17,5,12,5,0,8,4,0.48,3,0,2,399,322,0.81,4,3,9,2,6,3,0,6,0,0.56,2,0,2,485,396,0.82
5,4,11,2,7,4,0,3,1,0.56,4,0,4,442,347,0.79,6,9,17,2,6,11,0,1,4,0.62,1,0,4,470,388,0.83
4,2,9,3,8,1,0,2,2,0.5,3,0,1,487,391,0.8,1,4,7,2,4,3,0,3,3,0.47,2,0,2,412,301,0.73
5,3,11,3,5,6,0,2,1,0.34,2,0,3,286,200,0.7,2,6,9,1,4,5,0,6,2,0.3,4,0,4,328,267,0.81
7,2,11,2,8,3,0,4,2,0.38,0,0,4,272,200,0.74,6,7,22,9,16,6,0,5,3,0.61,1,0,2,556,481,0.87
7,2,20,11,11,9,0,6,0,0.7,1,0,2,764,693,0.91,3,5,11,3,7,5,0,4,2,0.52,1,1,7,433,347,0.8
3,1,8,4,4,4,0,5,2,0.53,4,0,1,478,378,0.79,2,7,11,2,8,3,0,6,0,0.58,3,0,2,548,464,0.85
2,4,9,3,5,4,0,5,3,0.55,2,0,1,534,458,0.86,2,2,4,0,1,3,0,4,1,0.35,3,1,4,333,261,0.78
4,4,11,3,6,5,0,6,3,0.4,1,0,5,376,302,0.8,1,3,5,1,4,1,0,3,4,0.45,2,0,1,441,356,0.81
3,3,10,4,7,3,0,8,1,0.69,1,1,3,553,468,0.85,2,6,13,5,8,5,0,8,0,0.46,4,0,1,387,293,0.76
6,4,18,8,9,9,0,6,1,0.57,2,0,1,490,388,0.79,7,6,15,2,11,4,0,3,3,0.47,2,0,5,430,351,0.82
2,3,6,1,3,3,0,6,2,0.43,1,0,3,386,267,0.69,6,6,19,7,7,12,0,4,3,0.65,2,0,2,635,586,0.92
5,3,10,2,7,3,0,4,1,0.31,3,0,2,242,157,0.65,7,2,13,4,7,6,0,4,3,0.53,2,0,5,500,407,0.81
0,5,6,1,4,2,0,4,0,0.37,2,0,5,285,194,0.68,3,4,10,3,5,5,0,1,3,0.51,2,0,5,443,367,0.83
4,2,10,4,7,3,0,9,2,0.46,2,0,4,393,314,0.8,8,6,18,4,11,7,0,5,1,0.49,4,0,3,423,345,0.82
5,8,16,3,7,9,0,2,0,0.63,1,0,0,498,418,0.84,4,9,17,4,14,3,0,9,1,0.54,4,0,1,458,391,0.85
7,6,20,7,17,4,0,6,2,0.6,1,0,3,564,478,0.85,2,11,18,5,8,10,0,6,1,0.54,1,0,2,492,403,0.82
0,4,7,3,5,2,0,5,2,0.31,2,0,8,280,201,0.72,5,9,19,5,10,9,2,7,5,0.65,1,0,8,667,564,0.85
5,7,15,3,10,5,0,7,1,0.57,1,1,4,496,404,0.81,6,7,16,3,10,6,0,6,4,0.49,3,0,2,357,283,0.79
7,6,15,2,9,6,0,4,1,0.55,1,0,1,452,332,0.73,2,5,13,6,7,6,0,2,1,0.34,1,0,5,265,180,0.68
2,6,11,3,7,5,0,4,0,0.51,3,0,4,363,283,0.78,2,5,10,3,4,6,0,3,4,0.39,4,0,8,318,216,0.68
9,3,16,4,9,7,0,7,2,0.55,3,0,1,487,414,0.85,0,6,13,7,6,7,0,5,4,0.52,0,0,4,431,316,0.73
1,4,6,1,4,2,0,0,4,0.58,1,0,6,467,392,0.84,6,6,15,3,8,7,0,8,2,0.43,2,0,2,373,284,0.76
8,4,15,3,11,4,13,8,4,0.35,4,0,5,351,250,0.71,4,3,10,3,6,4,0,5,3,0.45,0,1,3,373,254,0.68
6,9,19,4,12,7,0,7,0,0.66,4,0,1,523,440,0.84,1,5,10,4,5,5,0,8,3,0.45,0,0,7,408,334,0.82
4,10,14,0,8,6,0,2,2,0.48,2,0,0,412,308,0.75,7,8,20,5,10,10,0,9,2,0.42,4,0,0,326,256,0.79
9,6,20,5,10,10,0,4,2,0.61,2,0,1,494,410,0.83,8,3,20,9,9,11,0,11,4,0.69,2,0,0,637,567,0.89
3,4,8,1,4,4,0,2,1,0.51,1,0,6,443,368,0.83,9,9,26,8,17,9,0,7,0,0.63,1,0,3,582,487,0.84
1,3,6,2,3,3,0,4,0,0.39,2,1,5,348,255,0.73,2,0,5,3,2,3,0,4,1,0.56,2,0,1,435,322,0.74
5,6,13,2,9,4,0,7,2,0.37,1,0,7,321,239,0.74,5,8,18,5,8,10,0,9,1,0.58,1,0,0,645,594,0.92
5,6,15,4,8,7,0,5,3,0.51,4,0,4,456,395,0.87,8,13,23,2,17,6,0,6,2,0.61,0,0,1,533,451,0.85
9,6,22,7,15,8,0,9,2,0.74,1,0,0,777,712,0.92,5,5,13,3,3,10,0,6,2,0.49,1,2,4,446,375,0.84
0,2,7,5,3,4,0,3,1,0.42,2,0,3,458,393,0.86,4,4,9,1,4,5,0,0,3,0.35,2,0,3,365,254,0.7
4,6,11,1,7,4,0,1,1,0.65,2,0,2,657,542,0.82,1,7,13,5,4,9,0,5,1,0.62,5,1,2,543,463,0.85
3,3,7,1,4,3,0,4,1,0.38,1,0,4,329,241,0.73,6,8,20,6,10,10,0,6,3,0.49,4,0,3,440,372,0.85
2,2,4,0,4,0,0,4,1,0.44,4,0,1,336,223,0.66,6,11,21,4,14,7,0,5,0,0.62,2,0,1,523,439,0.84
5,4,12,3,8,4,0,7,0,0.38,2,1,1,326,238,0.73,0,1,1,0,1,0,0,0,2,0.26,6,1,9,268,206,0.77
2,6,15,7,9,6,0,14,2,0.62,2,0,6,561,493,0.88,12,9,29,8,23,6,0,13,3,0.67,1,0,3,628,544,0.87
3,4,8,1,3,5,0,3,6,0.61,1,0,5,515,416,0.81,9,5,14,0,9,5,0,7,0,0.38,2,0,1,351,287,0.82
3,2,8,3,2,6,0,1,3,0.33,1,0,10,305,226,0.74,6,9,21,6,9,12,0,4,1,0.48,2,0,2,388,298,0.77
2,3,7,2,5,2,0,4,2,0.53,3,0,1,476,374,0.79,2,5,12,5,6,6,0,6,2,0.43,2,0,3,313,220,0.7
4,5,14,5,6,8,0,7,2,0.61,2,0,1,477,394,0.83,6,7,17,4,9,8,0,1,0,0.39,1,1,3,330,236,0.72
4,3,11,4,5,6,0,5,1,0.52,1,0,3,416,310,0.75,1,4,8,3,5,3,5,4,1,0.35,1,0,4,333,224,0.67
7,9,21,5,12,9,0,4,0,0.58,3,0,2,498,402,0.81,3,8,17,6,9,8,0,6,0,0.39,0,0,4,314,239,0.76
4,6,15,5,8,7,0,8,0,0.57,1,0,2,411,327,0.8,2,6,10,2,5,5,0,4,5,0.42,2,0,6,359,273,0.76
6,6,21,9,8,13,0,6,3,0.57,1,0,4,436,358,0.82,8,9,27,10,18,9,0,16,2,0.71,1,0,1,669,596,0.89
5,6,12,1,7,5,0,4,1,0.46,4,0,2,371,265,0.71,2,4,9,3,4,5,0,5,3,0.38,4,2,5,360,280,0.78
7,7,23,9,14,9,0,6,3,0.58,1,0,1,579,480,0.83,3,5,13,5,3,10,0,2,2,0.59,2,0,5,451,348,0.77
4,5,11,2,5,6,0,3,3,0.54,1,0,3,432,310,0.72,5,4,15,6,7,8,0,7,2,0.53,2,0,2,463,362,0.78
3,3,6,0,4,2,0,3,2,0.29,2,0,8,279,189,0.68,2,4,7,1,2,5,0,2,1,0.42,2,0,6,399,279,0.7
3,5,10,2,6,4,0,5,3,0.6,0,0,6,575,495,0.86,2,3,9,4,3,6,0,3,4,0.47,6,1,3,416,317,0.76
8,6,15,1,11,4,0,5,1,0.4,2,0,0,382,299,0.78,3,6,12,3,7,5,12,2,3,0.47,2,0,1,407,316,0.78
5,7,15,3,9,6,0,5,4,0.57,1,0,2,493,405,0.82,6,6,22,10,9,14,0,5,0,0.62,3,0,2,628,547,0.87
4,6,13,3,7,6,0,5,1,0.43,2,0,4,381,275,0.72,4,4,12,4,6,6,0,5,3,0.43,2,0,5,323,237,0.73
6,1,10,3,7,3,0,7,1,0.41,3,0,3,303,220,0.73,2,7,17,8,11,6,11,4,1,0.53,2,1,3,454,362,0.8
3,8,16,5,8,8,0,4,0,0.45,4,0,2,313,234,0.75,4,4,9,1,4,5,0,6,3,0.46,0,0,1,398,289,0.73
7,5,16,4,9,7,0,5,0,0.58,0,0,5,482,386,0.8,7,6,16,3,11,5,0,6,0,0.42,1,0,6,360,280,0.78
8,6,22,8,13,9,0,9,3,0.54,1,0,4,478,363,0.76,5,3,11,3,6,5,0,4,1,0.35,1,0,2,293,201,0.69
4,5,10,1,8,2,0,1,1,0.38,0,0,9,342,274,0.8,5,2,8,1,7,1,0,3,2,0.43,1,0,5,383,288,0.75
6,2,12,4,5,7,0,7,4,0.57,0,0,3,488,394,0.81,2,9,15,4,6,9,0,6,0,0.55,4,0,2,386,290,0.75
4,1,9,4,5,4,0,2,0,0.34,3,0,4,311,229,0.74,7,8,19,4,13,6,0,7,3,0.42,0,0,5,349,264,0.76
4,8,16,4,7,9,0,6,3,0.65,2,0,3,532,429,0.81,6,8,17,3,13,5,0,4,6,0.41,3,0,3,380,287,0.76
4,5,12,3,7,5,0,4,2,0.54,3,0,2,470,374,0.8,12,2,21,7,14,7,0,11,3,0.62,0,0,2,570,505,0.89
12,2,27,13,23,4,0,5,2,0.58,1,0,5,532,456,0.86,7,1,12,4,6,6,0,5,0,0.66,0,0,4,603,524,0.87
4,4,11,3,4,7,0,3,3,0.59,1,0,4,542,452,0.83,8,3,15,4,12,3,0,5,5,0.46,5,0,7,407,291,0.71
11,4,19,4,9,10,0,6,0,0.55,4,0,1,483,408,0.84,4,5,13,4,11,2,0,11,0,0.5,3,0,3,372,298,0.8
3,4,10,3,4,6,0,4,1,0.6,2,0,2,551,435,0.79,2,4,13,7,6,7,0,9,2,0.56,1,0,4,478,400,0.84
11,8,23,4,14,9,0,6,1,0.64,3,0,3,590,498,0.84,6,4,12,2,6,6,0,5,4,0.54,1,0,1,496,388,0.78
5,4,13,4,8,5,0,6,3,0.4,5,0,2,360,259,0.72,5,8,16,3,15,1,0,8,1,0.34,1,0,1,254,153,0.6
4,2,14,8,6,8,0,5,1,0.5,3,0,3,388,298,0.77,5,3,9,1,2,7,0,6,3,0.63,3,0,2,632,548,0.87
2,3,7,2,3,4,13,3,1,0.4,3,0,6,302,190,0.63,3,5,12,4,6,6,0,1,2,0.44,4,1,4,367,280,0.76
8,7,21,6,8,13,14,8,3,0.6,3,0,2,443,356,0.8,6,9,20,5,12,8,0,8,2,0.56,4,0,1,440,365,0.83
2,5,11,4,6,5,0,3,1,0.46,1,0,5,421,309,0.73,5,5,12,2,9,3,0,3,2,0.37,1,0,5,389,313,0.8
4,1,6,1,4,2,0,3,3,0.36,2,0,5,335,250,0.75,2,9,17,6,11,6,0,16,2,0.66,0,0,3,486,386,0.79
2,5,11,4,8,4,0,5,1,0.45,1,0,9,404,315,0.78,5,4,12,3,8,4,0,5,2,0.44,0,0,2,381,301,0.79
4,12,24,8,12,12,0,9,4,0.62,3,0,0,516,437,0.85,3,3,9,3,7,3,0,4,1,0.49,1,0,1,415,306,0.74
7,12,27,8,16,11,0,7,0,0.5,0,0,3,342,245,0.72,1,3,6,2,5,1,0,1,2,0.38,3,1,1,326,236,0.72
1,6,10,3,7,3,0,4,0,0.51,3,0,2,424,330,0.78,2,10,14,2,5,9,0,1,1,0.54,2,0,1,548,489,0.89
2,6,9,1,6,3,0,2,2,0.46,2,0,2,472,382,0.81,1,6,8,1,2,6,0,3,1,0.33,2,0,3,306,226,0.74
6,6,18,6,8,10,0,7,1,0.56,1,0,0,463,374,0.81,2,5,9,2,7,2,0,1,2,0.56,2,0,2,452,348,0.77
6,5,17,6,13,4,0,9,4,0.67,1,0,1,627,551,0.88,3,6,12,3,7,5,0,5,0,0.47,2,0,3,458,370,0.81
2,1,9,6,4,5,0,5,5,0.44,2,0,1,352,256,0.73,6,2,11,3,10,1,0,3,3,0.44,1,0,3,373,285,0.76
7,2,10,1,7,3,0,3,1,0.53,2,0,3,524,448,0.85,11,5,16,0,12,4,0,1,2,0.54,2,0,0,566,470,0.83
1,3,5,1,1,4,0,7,1,0.46,1,0,6,451,355,0.79,4,4,13,5,5,8,0,8,2,0.48,1,0,3,407,304,0.75
3,4,12,5,4,8,0,6,5,0.52,2,0,4,441,332,0.75,6,5,13,2,9,4,0,6,1,0.5,2,0,5,360,269,0.75
4,5,9,0,6,3,0,4,5,0.55,7,1,3,457,365,0.8,2,8,15,5,8,7,0,10,4,0.6,1,0,2,586,484,0.83
4,5,10,1,5,5,0,6,4,0.53,3,0,2,419,317,0.76,5,9,20,6,15,5,0,7,0,0.56,2,0,4,527,449,0.85
4,3,7,0,4,3,0,3,0,0.4,2,0,3,316,196,0.62,3,5,12,4,3,9,0,3,2,0.47,3,0,4,426,327,0.77
4,3,9,2,3,6,0,2,3,0.53,1,0,2,456,347,0.76,1,2,6,3,4,2,0,6,0,0.58,2,0,1,543,446,0.82
1,2,6,3,3,3,0,4,0,0.42,2,0,1,386,279,0.72,3,9,16,4,8,8,0,13,4,0.6,1,0,3,466,377,0.81
8,8,21,5,13,8,0,10,1,0.61,2,1,0,456,364,0.8,0,8,11,3,4,7,0,11,8,0.66,3,0,1,526,440,0.84
3,5,13,5,6,7,0,5,0,0.34,1,0,0,269,188,0.7,5,4,12,3,6,6,0,7,4,0.45,1,0,2,370,282,0.76
5,3,10,2,5,5,0,5,2,0.44,2,1,3,404,322,0.8,3,1,9,5,6,3,0,1,0,0.39,0,0,8,311,220,0.71
3,3,8,2,7,1,0,7,2,0.4,2,1,1,383,279,0.73,3,6,11,2,6,5,0,4,3,0.45,0,0,4,401,302,0.75
9,2,14,3,9,5,0,5,5,0.55,1,0,1,490,403,0.82,3,5,9,1,6,3,0,4,0,0.47,2,0,2,377,273,0.72
2,9,16,5,7,9,0,6,1,0.52,2,0,0,514,425,0.83,6,5,15,4,11,4,0,11,4,0.52,1,0,2,412,336,0.82
3,5,8,0,5,3,0,2,3,0.5,1,1,3,397,317,0.8,8,5,15,2,9,7,0,6,3,0.67,3,0,7,687,619,0.9
9,3,17,5,11,6,0,1,2,0.33,2,0,3,326,253,0.78,2,4,11,5,7,4,0,4,1,0.48,2,1,2,479,400,0.84
3,1,5,1,4,1,0,4,0,0.3,2,1,3,296,215,0.73,3,1,7,3,2,5,0,4,5,0.54,2,0,2,550,469,0.85
5,3,13,5,10,3,0,4,1,0.53,2,0,4,370,258,0.7,5,6,20,9,15,5,0,7,3,0.5,3,0,3,400,303,0.76
1,2,5,2,2,3,0,3,1,0.56,3,0,5,456,375,0.82,6,5,14,3,8,6,0,6,2,0.47,0,0,2,330,236,0.72
2,6,9,1,8,1,0,4,5,0.48,3,0,6,388,306,0.79,2,2,8,4,5,3,0,1,3,0.42,1,0,4,418,326,0.78
2,5,13,6,5,8,0,3,1,0.39,3,0,3,325,220,0.68,5,10,21,6,15,6,0,12,4,0.7,2,0,2,722,648,0.9
7,5,16,4,10,6,0,7,2,0.58,4,0,1,568,468,0.82,5,3,10,2,10,0,0,7,0,0.44,3,0,1,355,271,0.76
5,7,14,2,9,5,0,4,1,0.46,0,0,3,461,385,0.84,6,4,17,7,10,7,0,4,3,0.61,0,0,1,530,432,0.82
4,4,8,0,3,5,0,2,1,0.59,1,0,4,556,410,0.74,3,5,13,5,7,6,0,5,1,0.67,1,0,0,648,540,0.83
0,3,4,1,3,1,0,1,0,0.33,3,1,1,304,189,0.62,4,5,10,1,9,1,0,7,1,0.54,0,0,3,458,344,0.75
4,6,13,3,7,6,0,5,1,0.5,2,0,4,427,361,0.85,0,3,3,0,1,2,0,3,1,0.4,1,0,3,410,323,0.79
0,7,8,1,4,4,0,2,2,0.68,0,0,4,706,627,0.89,5,8,20,7,10,10,0,16,4,0.67,2,0,0,582,501,0.86
1,1,2,0,2,0,0,0,3,0.33,2,0,5,300,210,0.7,6,4,12,2,7,5,0,4,4,0.41,0,0,3,376,264,0.7
4,8,19,7,10,9,0,9,1,0.64,1,0,1,488,399,0.82,5,4,9,0,4,5,0,5,3,0.32,1,0,0,338,277,0.82
5,5,14,4,9,5,0,7,5,0.65,3,0,3,551,431,0.78,2,5,8,1,6,2,0,1,3,0.36,3,0,4,282,195,0.69
3,5,13,5,10,3,0,8,1,0.6,1,0,0,578,492,0.85,4,9,22,9,16,6,0,14,1,0.63,1,0,2,499,408,0.82
4,7,14,3,10,4,0,6,3,0.46,1,0,3,383,289,0.75,5,8,16,3,8,8,0,3,2,0.5,1,0,3,435,379,0.87
4,4,9,1,5,4,0,6,2,0.37,2,0,3,287,191,0.67,3,5,9,1,5,4,0,3,2,0.35,1,0,3,314,206,0.66
4,6,16,6,9,7,0,5,5,0.58,2,0,2,535,438,0.82,9,4,16,3,11,5,0,2,1,0.59,0,0,3,608,535,0.88
7,8,19,4,6,13,0,11,1,0.66,1,0,2,452,371,0.82,1,4,9,4,6,3,0,4,1,0.54,4,0,4,454,349,0.77
3,5,11,3,5,6,0,11,1,0.58,0,0,6,530,406,0.77,1,13,15,1,9,6,0,7,0,0.58,2,0,2,517,403,0.78
4,6,12,2,9,3,0,2,3,0.34,3,0,7,244,147,0.6,4,11,16,1,8,8,0,3,2,0.42,0,0,1,389,289,0.74
3,3,10,4,3,7,0,3,4,0.41,0,0,5,403,337,0.84,5,2,10,3,8,2,0,4,1,0.43,1,0,5,385,246,0.64
7,5,18,6,15,3,0,9,1,0.46,1,0,0,375,281,0.75,6,5,13,2,9,5,0,10,5,0.57,2,0,4,499,381,0.76
12,5,22,5,14,8,0,7,3,0.55,2,0,3,484,392,0.81,7,9,21,5,12,9,0,6,6,0.64,1,0,2,606,517,0.85
4,3,10,3,4,6,0,6,3,0.45,2,0,8,372,285,0.77,1,2,4,1,4,1,0,3,5,0.27,3,0,2,247,161,0.65
2,1,4,1,3,1,0,5,3,0.36,4,0,6,331,225,0.68,3,7,11,1,7,4,0,5,1,0.73,2,0,0,684,590,0.86
9,2,14,3,11,4,0,5,5,0.42,3,0,2,390,265,0.68,4,2,11,5,7,4,0,4,0,0.42,3,0,2,401,301,0.75
3,3,7,1,4,3,0,5,3,0.52,4,1,3,476,405,0.85,9,1,16,6,8,8,0,6,2,0.45,2,0,7,390,312,0.8
8,2,12,2,7,5,0,4,6,0.55,1,0,5,463,377,0.81,6,4,12,2,6,6,0,10,3,0.65,2,0,4,494,402,0.81
0,5,9,4,4,5,0,7,1,0.47,1,0,1,449,366,0.82,3,2,7,2,3,4,0,1,3,0.31,0,0,1,267,171,0.64
6,2,14,6,9,6,0,10,0,0.35,3,0,4,263,157,0.6,2,4,7,1,3,4,0,3,3,0.36,1,0,1,354,270,0.76
3,5,12,4,7,5,0,6,2,0.64,1,0,2,626,547,0.87,5,7,18,6,9,9,0,9,0,0.48,0,0,4,436,366,0.84
3,4,7,0,6,2,0,2,2,0.4,2,0,5,274,191,0.7,4,2,9,3,2,7,0,4,2,0.57,4,0,1,497,391,0.79
2,4,10,4,6,4,0,8,1,0.69,1,0,2,593,494,0.83,6,8,17,3,12,5,0,5,0,0.6,0,0,3,435,342,0.79
1,3,5,1,3,2,0,4,4,0.43,2,0,4,360,252,0.7,10,5,19,4,13,6,0,10,2,0.57,2,0,3,542,447,0.82
2,1,7,4,5,2,0,5,1,0.47,1,0,3,394,291,0.74,2,3,10,5,8,2,0,8,0,0.53,3,0,0,534,435,0.81
6,1,11,4,7,4,0,5,0,0.43,0,0,6,407,309,0.76,8,6,19,5,9,10,0,7,3,0.53,1,0,1,449,375,0.84
1,4,7,2,4,3,0,1,5,0.5,3,0,5,373,244,0.65,4,8,19,7,8,11,0,13,0,0.62,1,0,4,526,439,0.83
5,8,14,1,9,5,0,6,3,0.38,2,0,3,331,251,0.76,5,12,23,6,17,6,0,10,3,0.63,1,0,1,539,438,0.81
2,5,9,2,5,4,0,2,1,0.38,0,0,1,302,222,0.74,4,3,7,0,6,1,9,1,3,0.46,0,0,4,413,305,0.74
4,6,11,1,5,6,10,6,0,0.54,1,0,2,462,334,0.72,2,8,10,0,8,2,0,3,2,0.59,2,0,2,543,447,0.82
4,6,11,1,7,5,0,2,1,0.28,1,0,3,257,186,0.72,7,4,14,3,9,5,0,4,4,0.5,3,0,1,385,258,0.67
5,4,15,6,10,5,0,4,1,0.38,1,0,7,323,237,0.73,1,11,21,9,13,8,0,6,2,0.62,1,0,2,496,412,0.83
2,4,9,3,5,4,0,4,0,0.37,2,0,3,332,236,0.71,7,4,16,5,10,6,0,3,1,0.72,1,0,5,712,618,0.87
3,2,9,4,4,5,0,6,1,0.65,2,0,3,559,458,0.82,1,4,6,1,5,2,0,2,1,0.39,3,0,1,389,264,0.68
1,7,10,2,5,5,0,7,2,0.61,1,0,0,574,447,0.78,4,3,11,4,6,5,0,3,2,0.35,3,0,2,286,192,0.67
5,5,16,6,10,6,0,8,2,0.41,3,0,2,386,278,0.72,6,9,19,4,13,6,0,11,2,0.62,2,0,4,524,445,0.85
2,2,4,0,3,1,0,4,1,0.3,0,0,6,270,171,0.63,5,6,11,0,6,5,12,5,1,0.43,2,0,4,370,300,0.81
3,4,12,5,9,3,0,7,0,0.54,2,0,9,397,296,0.75,5,3,12,4,9,3,0,8,3,0.43,0,0,3,296,190,0.64
3,10,15,2,11,4,0,4,1,0.59,0,0,0,572,477,0.83,5,3,9,1,5,4,0,1,0,0.34,2,0,2,275,164,0.6
5,3,11,3,9,2,12,7,2,0.57,1,0,3,474,389,0.82,2,5,9,2,5,4,0,5,1,0.41,1,0,2,402,308,0.77
4,3,11,4,8,3,0,8,2,0.66,0,0,3,522,420,0.8,2,11,14,1,8,6,0,8,3,0.48,1,0,6,415,303,0.73
3,8,15,4,9,6,0,5,0,0.57,0,0,4,397,296,0.75,8,7,20,5,7,13,0,6,2,0.58,2,0,2,477,364,0.76
4,2,8,2,8,0,0,2,4,0.42,2,0,7,335,219,0.65,2,12,18,4,7,11,0,5,2,0.45,0,0,2,427,356,0.83
8,2,13,3,9,4,0,3,2,0.52,0,0,3,464,339,0.73,8,11,28,9,12,16,0,4,1,0.7,0,0,0,642,529,0.82
7,3,13,3,10,3,0,5,6,0.47,1,0,3,492,431,0.88,10,6,24,8,13,11,0,11,1,0.46,1,0,3,335,247,0.74
4,3,8,1,7,1,0,5,5,0.55,0,0,2,522,440,0.84,5,4,13,4,8,5,0,5,3,0.53,3,0,6,557,496,0.89
5,10,26,11,11,15,0,7,0,0.58,2,0,1,469,377,0.8,2,6,11,3,6,5,0,11,2,0.69,0,0,2,605,499,0.82
6,5,16,5,7,9,0,8,3,0.68,1,0,1,552,490,0.89,3,7,12,2,8,4,0,3,1,0.42,0,0,4,342,241,0.7
4,4,12,4,7,5,0,9,10,0.65,0,0,2,500,376,0.75,5,5,10,0,7,3,0,2,2,0.33,1,0,2,272,167,0.61
5,4,12,3,8,4,0,7,2,0.49,1,0,4,383,278,0.73,4,2,6,0,2,4,0,0,1,0.31,2,0,1,283,197,0.7
6,8,20,6,11,9,0,8,1,0.63,2,0,3,648,571,0.88,3,6,11,2,7,4,0,2,3,0.33,3,0,4,280,194,0.69
7,6,17,4,11,6,0,2,0,0.67,1,0,2,577,489,0.85,5,0,6,1,5,1,0,7,1,0.35,1,0,4,268,144,0.54
2,9,22,11,11,11,0,8,4,0.72,0,0,2,678,572,0.84,2,2,7,3,5,2,0,4,0,0.32,2,2,4,257,183,0.71
7,3,10,0,5,5,0,7,0,0.53,3,0,3,414,311,0.75,2,6,11,3,6,5,0,9,2,0.28,1,0,2,239,162,0.68
4,4,8,0,8,0,0,3,0,0.47,1,0,6,370,249,0.67,5,5,13,3,10,3,0,10,2,0.67,2,0,2,538,416,0.77
4,2,11,5,8,3,0,4,5,0.51,1,0,3,386,277,0.72,5,3,8,0,6,2,0,4,3,0.37,0,0,5,386,300,0.78
3,7,11,1,7,4,0,4,8,0.41,2,0,7,354,266,0.75,8,5,15,2,9,6,0,9,3,0.59,3,0,3,431,354,0.82
3,3,9,3,7,2,0,7,2,0.45,3,0,1,386,282,0.73,1,6,10,3,7,3,0,3,0,0.4,2,0,6,365,287,0.79
7,5,20,8,11,9,0,7,3,0.6,2,0,1,517,456,0.88,3,8,13,2,3,10,0,1,3,0.41,1,0,6,334,237,0.71
1,4,8,3,6,2,0,9,1,0.45,0,0,4,369,263,0.71,2,3,7,2,5,2,0,0,1,0.55,1,0,3,513,403,0.79
2,5,12,5,8,5,0,4,1,0.38,4,0,0,327,243,0.74,10,3,15,2,12,3,0,9,3,0.59,1,0,3,533,428,0.8
5,3,8,0,7,1,0,4,1,0.65,0,0,1,571,487,0.85,4,4,10,2,5,5,0,8,2,0.55,1,0,0,464,366,0.79
6,3,11,2,6,5,0,12,1,0.59,2,0,1,453,350,0.77,2,8,17,7,10,7,0,9,2,0.62,1,0,1,544,454,0.83
4,4,10,2,6,4,0,6,1,0.41,3,0,6,309,222,0.72,5,5,14,4,9,5,0,3,6,0.35,1,0,5,312,231,0.74
3,3,7,1,5,2,0,6,1,0.36,1,0,3,278,159,0.57,9,6,19,4,12,7,10,5,3,0.66,1,0,2,615,542,0.88
3,8,11,0,9,2,11,1,1,0.34,1,0,5,306,238,0.78,5,12,26,9,13,13,0,7,5,0.64,2,0,3,517,391,0.76
5,7,13,1,9,4,0,4,1,0.49,1,0,3,408,300,0.74,6,7,17,4,10,7,0,4,0,0.58,3,0,3,465,337,0.72
3,3,8,2,3,5,0,6,1,0.42,1,0,5,326,216,0.66,3,2,6,1,2,4,0,7,0,0.52,5,0,2,383,295,0.77
4,7,11,0,5,6,0,1,2,0.39,1,0,5,329,205,0.62,3,3,10,4,4,6,0,3,1,0.49,0,0,4,516,433,0.84
6,4,12,2,11,1,0,9,1,0.51,2,0,3,530,453,0.85,2,3,7,2,7,0,0,6,1,0.49,0,0,3,334,264,0.79
4,4,9,1,4,5,0,3,2,0.48,2,0,3,361,253,0.7,3,8,14,3,8,7,0,7,2,0.51,3,0,2,409,304,0.74
