Shots on Goal (home),Shots off Goal (home),Total Shots (home),Blocked Shots (home),Shots insidebox (home),Shots outsidebox (home),Fouls (home),Corner Kicks (home),Offsides (home),Ball Possession (home),Yellow Cards (home),Red Cards (home),Goalkeeper Saves (home),Total passes (home),Passes accurate (home),Passes % (home),Shots on Goal (away),Shots off Goal (away),Total Shots (away),Blocked Shots (away),Shots insidebox (away),Shots outsidebox (away),Fouls (away),Corner Kicks (away),Offsides (away),Ball Possession (away),Yellow Cards (away),Red Cards (away),Goalkeeper Saves (away),Total passes (away),Passes accurate (away),Passes % (away)
6,6,18,6,9,9,0,4,2,0.66,2,1,2,499,412,0.83,12,4,19,3,14,5,0,8,1,0.69,1,0,2,773,681,0.88
4,6,15,5,6,9,0,7,0,0.41,6,1,4,411,317,0.77,2,5,11,4,6,5,0,4,2,0.45,0,0,3,459,384,0.84
3,5,12,4,6,6,0,5,1,0.53,1,0,3,490,415,0.85,8,3,11,0,7,4,0,2,3,0.59,1,0,4,604,524,0.87
3,3,7,1,5,2,0,3,3,0.31,1,0,8,328,233,0.71,1,1,7,5,6,1,0,5,3,0.46,0,0,1,428,325,0.76
2,5,10,3,7,3,0,8,2,0.54,2,0,4,407,322,0.79,5,7,13,1,10,3,0,5,3,0.58,0,0,3,475,371,0.78
5,4,12,3,10,2,0,5,5,0.34,2,0,4,227,155,0.68,6,5,13,2,8,5,0,6,4,0.42,0,0,3,344,233,0.68
7,8,15,0,10,5,0,4,4,0.55,1,0,2,557,470,0.84,0,2,3,1,1,2,0,3,0,0.44,2,0,6,305,188,0.62
6,9,22,7,13,9,0,9,5,0.56,1,0,0,395,286,0.72,4,2,11,5,8,3,0,7,2,0.46,2,0,1,364,265,0.73
7,2,15,6,9,6,0,12,0,0.42,2,0,4,367,256,0.7,5,5,12,2,5,7,0,5,5,0.47,0,0,1,449,360,0.8
5,7,18,6,9,9,0,9,1,0.58,0,0,7,520,410,0.79,2,3,10,5,5,5,0,5,2,0.54,2,0,1,514,422,0.82
4,6,13,3,8,5,0,4,2,0.48,1,0,4,301,173,0.57,1,8,15,6,8,7,0,1,2,0.44,1,0,5,339,229,0.68
1,1,5,3,2,3,0,7,3,0.53,3,0,7,442,320,0.72,1,5,6,0,3,3,0,3,2,0.41,2,0,1,381,285,0.75
5,2,9,2,4,5,0,7,0,0.44,3,1,7,399,304,0.76,6,9,20,5,14,6,0,11,2,0.5,0,0,2,429,321,0.75
3,1,5,1,1,4,0,2,1,0.5,0,0,3,426,331,0.78,6,3,12,3,8,4,0,1,1,0.39,5,0,2,403,308,0.76
2,6,13,5,7,6,0,8,1,0.38,1,0,2,316,230,0.73,4,6,13,3,6,8,0,7,3,0.41,2,0,6,326,226,0.69
2,3,8,3,7,1,0,9,3,0.61,4,0,5,616,515,0.84,4,4,13,5,8,5,0,8,3,0.62,0,0,1,548,458,0.84
3,6,12,3,7,5,0,8,1,0.59,2,0,0,548,452,0.82,6,4,14,4,6,8,0,6,1,0.52,0,0,2,485,396,0.82
7,7,16,2,12,4,0,7,1,0.56,1,0,1,408,289,0.71,7,7,19,5,13,6,0,7,2,0.39,2,0,2,355,276,0.78
6,3,11,2,9,2,0,4,1,0.61,0,0,4,566,481,0.85,7,9,19,3,12,7,0,10,0,0.56,0,0,5,510,422,0.83
3,6,11,2,5,6,0,3,3,0.48,2,0,2,429,339,0.79,8,7,16,1,9,7,0,2,3,0.47,3,0,1,395,281,0.71
7,5,13,1,10,3,0,10,3,0.52,2,0,4,315,187,0.59,7,3,12,2,7,5,0,6,3,0.59,1,0,4,455,358,0.79
5,3,9,1,6,3,0,3,3,0.57,2,0,2,522,390,0.75,2,6,12,4,6,6,0,5,0,0.51,2,0,2,410,322,0.79
5,5,18,8,11,7,0,5,2,0.51,0,0,4,503,404,0.8,4,3,11,4,4,7,0,11,5,0.51,2,1,4,529,434,0.82
13,14,37,10,18,19,0,9,2,0.66,1,0,0,595,513,0.86,3,2,5,0,4,1,0,5,2,0.43,3,0,4,393,277,0.7
1,4,7,2,4,3,0,3,0,0.34,1,0,3,294,225,0.77,4,9,17,4,12,5,0,10,3,0.51,1,0,1,378,292,0.77
3,5,8,0,5,3,0,0,5,0.36,2,0,6,240,135,0.56,7,6,16,3,10,6,0,2,3,0.71,0,0,1,723,641,0.89
