score.fulltime.home (home 1),score.fulltime.away (home 1),Shots on Goal (home 1),Shots off Goal (home 1),Total Shots (home 1),Blocked Shots (home 1),Shots insidebox (home 1),Shots outsidebox (home 1),Fouls (home 1),Corner Kicks (home 1),Offsides (home 1),Ball Possession (home 1),Yellow Cards (home 1),Red Cards (home 1),Goalkeeper Saves (home 1),Total passes (home 1),Passes accurate (home 1),Passes % (home 1),score.fulltime.home (away 1),score.fulltime.away (away 1),Shots on Goal (away 1),Shots off Goal (away 1),Total Shots (away 1),Blocked Shots (away 1),Shots insidebox (away 1),Shots outsidebox (away 1),Fouls (away 1),Corner Kicks (away 1),Offsides (away 1),Ball Possession (away 1),Yellow Cards (away 1),Red Cards (away 1),Goalkeeper Saves (away 1),Total passes (away 1),Passes accurate (away 1),Passes % (away 1),score.fulltime.home (h2h 1),score.fulltime.away (h2h 1),Shots on Goal (h2h - home 1),Shots off Goal (h2h - home 1),Total Shots (h2h - home 1),Blocked Shots (h2h - home 1),Shots insidebox (h2h - home 1),Shots outsidebox (h2h - home 1),Fouls (h2h - home 1),Corner Kicks (h2h - home 1),Offsides (h2h - home 1),Ball Possession (h2h - home 1),Yellow Cards (h2h - home 1),Red Cards (h2h - home 1),Goalkeeper Saves (h2h - home 1),Total passes (h2h - home 1),Passes accurate (h2h - home 1),Passes % (h2h - home 1),Shots on Goal (h2h - away 1),Shots off Goal (h2h - away 1),Total Shots (h2h - away 1),Blocked Shots (h2h - away 1),Shots insidebox (h2h - away 1),Shots outsidebox (h2h - away 1),Fouls (h2h - away 1),Corner Kicks (h2h - away 1),Offsides (h2h - away 1),Ball Possession (h2h - away 1),Yellow Cards (h2h - away 1),Red Cards (h2h - away 1),Goalkeeper Saves (h2h - away 1),Total passes (h2h - away 1),Passes accurate (h2h - away 1),Passes % (h2h - away 1)
2,1,4,7,16,5,6,10,15,3,1,0.63,0,0,7,552,453,0.82,2,1,2,2,6,2,4,2,17,1,1,0.44,2,0,1,410,300,0.73,1,0,0,4,4,0,3,1,15,2,4,0.31,2,1,3,249,144,0.58,4,7,19,8,12,7,12,8,4,0.69,1,0,0,574,465,0.81
5,0,9,7,19,3,12,7,10,10,3,0.64,1,0,2,634,542,0.85,2,3,6,2,9,1,6,3,15,6,1,0.54,2,0,3,452,365,0.81,1,1,2,6,10,2,6,4,11,6,6,0.48,4,0,5,427,326,0.76,6,11,18,1,12,6,16,8,4,0.52,2,0,1,458,378,0.83
3,0,7,15,26,4,12,14,9,2,1,0.66,0,0,0,764,701,0.92,1,2,5,6,12,1,5,7,9,6,1,0.51,2,0,0,475,380,0.8,4,2,9,3,18,6,10,8,7,8,3,0.68,1,0,3,645,569,0.88,5,9,19,5,13,6,13,7,5,0.32,2,0,5,286,198,0.69
0,3,6,4,13,3,7,6,11,5,2,0.6,1,0,2,618,522,0.84,2,0,3,2,9,4,7,2,8,1,5,0.43,1,0,2,384,311,0.81,3,0,10,4,16,2,11,5,10,6,4,0.63,1,0,1,636,545,0.86,1,5,6,0,3,3,16,4,1,0.37,1,0,7,352,257,0.73
1,0,4,7,16,5,13,3,17,7,5,0.61,3,0,1,425,305,0.72,2,0,2,6,8,0,4,4,18,1,2,0.49,2,0,4,518,437,0.84,3,0,3,5,8,0,3,5,16,4,1,0.51,2,0,1,447,335,0.75,4,1,8,3,5,3,19,3,1,0.49,1,0,3,436,333,0.76
1,2,3,5,12,4,4,8,16,5,2,0.49,0,0,2,473,377,0.8,0,3,2,3,7,2,4,3,13,4,1,0.4,4,1,3,420,331,0.79,0,0,1,3,6,2,0,6,15,3,3,0.57,3,0,1,618,551,0.89,1,4,5,0,1,4,10,2,0,0.43,2,1,1,482,401,0.83
0,1,4,6,13,3,5,8,12,4,1,0.52,5,1,2,453,326,0.72,2,1,8,5,17,4,14,3,12,8,3,0.47,3,1,1,421,347,0.82,1,0,3,4,14,7,8,7,16,11,3,0.64,1,0,1,536,431,0.8,1,4,6,1,2,4,15,2,4,0.36,1,0,2,289,182,0.63
3,0,1,4,6,1,4,2,10,2,1,0.57,2,0,5,592,506,0.85,1,0,4,4,14,6,9,5,16,6,1,0.46,6,0,4,365,272,0.75,2,1,5,3,11,3,5,6,15,6,2,0.41,1,0,0,337,246,0.73,1,5,6,0,3,4,19,3,9,0.59,0,0,4,496,384,0.77
2,2,5,5,14,4,6,8,8,3,3,0.38,0,0,8,389,315,0.81,5,0,1,4,7,2,5,2,5,2,2,0.25,0,0,9,271,203,0.75,2,1,5,3,11,3,7,4,24,2,0,0.31,5,0,7,228,140,0.61,8,13,26,5,21,5,14,9,0,0.69,2,1,3,497,405,0.81
2,3,5,5,12,2,9,3,18,7,0,0.46,4,0,3,380,291,0.77,1,4,2,6,13,5,9,4,13,4,2,0.49,1,0,3,417,302,0.72,3,1,2,4,7,1,2,5,7,1,4,0.38,1,1,6,326,202,0.62,9,5,16,2,9,7,11,5,3,0.62,0,0,1,527,421,0.8
1,0,1,0,1,0,0,1,19,4,2,0.39,2,0,3,267,158,0.59,5,0,2,4,7,1,4,3,16,1,1,0.36,3,0,4,354,265,0.75,3,1,1,4,7,2,4,3,15,0,2,0.3,3,0,3,331,247,0.75,6,6,16,4,10,6,4,5,6,0.7,0,0,0,792,693,0.88
3,2,5,5,13,3,12,1,9,8,1,0.73,1,0,4,727,652,0.9,3,2,5,2,7,0,4,3,15,3,4,0.29,1,0,2,265,197,0.74,0,2,2,8,13,3,10,3,13,7,3,0.59,2,0,3,519,427,0.82,5,2,12,5,8,4,15,6,4,0.41,2,0,2,344,267,0.78
2,1,5,6,11,0,4,7,15,4,4,0.57,7,2,4,371,294,0.79,2,0,6,2,11,3,5,6,13,1,3,0.51,2,0,2,557,471,0.85,0,2,7,2,10,1,8,2,19,1,2,0.38,3,0,10,324,241,0.74,10,12,24,2,12,12,11,12,0,0.62,2,0,5,517,438,0.85
0,0,2,6,11,3,4,7,17,4,3,0.53,1,0,6,488,405,0.83,3,2,5,8,17,4,10,7,13,13,0,0.71,1,0,3,680,603,0.89,1,0,1,3,7,3,4,3,6,2,3,0.29,2,0,7,254,172,0.68,8,10,20,2,12,8,8,8,1,0.71,3,1,1,638,556,0.87
5,1,5,5,11,1,6,5,7,3,5,0.4,1,0,4,455,386,0.85,1,2,5,5,12,2,8,4,10,8,3,0.64,2,0,1,612,511,0.83,1,2,3,4,11,4,6,5,21,5,0,0.44,4,0,3,390,311,0.8,5,6,15,4,6,9,14,7,0,0.56,3,0,2,477,389,0.82
3,1,5,6,14,3,7,7,14,7,1,0.4,2,0,1,361,289,0.8,3,2,5,5,13,3,12,1,9,8,1,0.73,1,0,4,727,652,0.9,0,0,2,5,9,2,8,1,9,3,4,0.29,0,0,2,259,171,0.66,2,7,17,8,9,8,10,7,1,0.71,2,0,2,622,541,0.87
1,0,4,4,14,6,9,5,16,6,1,0.46,6,0,4,365,272,0.75,1,0,1,0,1,0,0,1,19,4,2,0.39,2,0,3,267,158,0.59,2,1,6,7,17,4,12,5,16,8,6,0.59,2,0,4,483,405,0.84,6,3,11,2,8,3,18,4,2,0.41,4,0,4,345,262,0.76
1,2,4,9,15,2,8,7,8,7,2,0.6,3,0,3,480,371,0.77,3,0,1,4,6,1,4,2,10,2,1,0.57,2,0,5,592,506,0.85,2,2,6,9,19,4,12,7,7,13,1,0.62,1,0,1,480,376,0.78,3,0,8,5,7,1,16,2,3,0.38,5,0,4,319,206,0.65
2,0,5,1,7,1,6,1,7,4,0,0.33,1,0,4,280,179,0.64,2,0,7,12,24,5,14,10,9,5,3,0.54,1,0,1,419,289,0.69,2,1,3,11,22,8,11,11,9,11,4,0.7,1,0,3,522,420,0.8,6,1,8,1,5,3,8,2,2,0.3,2,0,2,240,146,0.61
5,0,14,7,24,3,16,8,3,9,3,0.75,0,0,1,822,741,0.9,3,1,9,2,13,2,9,4,14,3,4,0.29,3,0,2,241,157,0.65,6,1,10,7,18,1,11,7,16,10,1,0.67,3,0,3,659,580,0.88,4,1,7,2,3,4,13,1,0,0.33,3,0,4,325,248,0.76
1,1,8,5,18,5,11,7,9,6,0,0.5,1,0,2,422,315,0.75,0,1,4,6,13,3,5,8,12,4,1,0.52,5,1,2,453,326,0.72,2,4,5,8,15,2,8,7,16,9,3,0.48,3,0,1,375,253,0.67,5,5,10,0,9,1,11,2,4,0.52,2,0,3,420,306,0.73
2,1,8,5,17,4,14,3,12,8,3,0.47,3,1,1,421,347,0.82,2,2,5,5,14,4,6,8,8,3,3,0.38,0,0,8,389,315,0.81,1,2,6,4,13,3,10,4,14,9,1,0.55,3,0,2,392,281,0.72,4,4,9,1,8,1,18,6,2,0.45,2,0,6,319,187,0.59
1,2,4,4,9,1,5,4,8,4,1,0.41,1,0,6,381,267,0.7,1,2,7,8,20,5,9,11,8,9,3,0.59,0,0,2,546,439,0.8,1,2,4,4,9,1,5,4,8,4,1,0.41,1,0,6,381,267,0.7,7,8,20,5,9,11,8,9,3,0.59,0,0,2,546,439,0.8
0,1,2,10,14,2,5,9,0,1,1,0.54,2,0,1,548,489,0.89,0,1,2,6,9,1,6,3,0,2,2,0.46,2,0,2,472,382,0.81,0,1,2,10,14,2,5,9,0,1,1,0.54,2,0,1,548,489,0.89,2,6,9,1,6,3,0,2,2,0.46,2,0,2,472,382,0.81
2,0,6,2,11,3,5,6,13,1,3,0.51,2,0,2,557,471,0.85,1,0,4,7,16,5,13,3,17,7,5,0.61,3,0,1,425,305,0.72,0,0,3,3,9,3,3,6,16,4,5,0.53,3,0,4,399,300,0.75,4,3,11,4,5,6,21,2,3,0.47,6,0,3,358,244,0.68
3,2,5,8,17,4,10,7,13,13,0,0.71,1,0,3,680,603,0.89,1,1,4,6,10,0,4,6,11,0,2,0.37,1,0,8,348,263,0.76,4,0,8,11,26,7,18,8,16,7,3,0.72,2,0,1,620,553,0.89,1,4,5,0,2,3,12,1,1,0.28,1,1,4,234,155,0.66
2,2,6,6,15,3,11,4,5,3,2,0.45,1,0,3,435,359,0.83,2,0,2,7,11,2,4,7,7,1,3,0.27,2,0,8,224,151,0.67,0,1,6,10,22,6,17,5,12,10,1,0.6,0,0,1,510,417,0.82,1,2,10,7,5,5,11,5,0,0.4,3,0,5,348,246,0.71
1,4,3,7,17,7,12,5,10,8,2,0.45,3,0,2,364,263,0.72,0,1,2,5,9,2,5,4,10,6,6,0.5,4,0,2,405,310,0.77,3,1,2,10,15,3,7,8,13,5,2,0.44,1,0,2,350,243,0.69,5,4,9,0,7,2,17,2,1,0.56,3,0,1,467,348,0.75
3,1,5,6,15,4,11,4,7,6,5,0.71,1,0,8,625,514,0.82,5,1,9,4,14,1,12,2,6,1,1,0.6,1,0,4,698,606,0.87,1,0,3,7,14,4,11,3,16,8,1,0.46,2,0,6,403,307,0.76,7,4,16,5,14,2,13,10,4,0.54,1,0,2,484,387,0.8
1,1,9,8,20,3,10,10,14,9,1,0.63,3,0,3,595,501,0.84,2,1,4,7,16,5,6,10,15,3,1,0.63,0,0,7,552,453,0.82,0,2,3,4,9,2,5,4,11,4,0,0.53,1,0,1,439,359,0.82,1,4,7,2,3,4,15,7,1,0.47,2,0,1,374,277,0.74
2,0,3,2,9,4,7,2,8,1,5,0.43,1,0,2,384,311,0.81,0,3,3,4,10,3,4,6,11,2,3,0.41,2,0,0,471,398,0.85,0,1,1,5,9,3,5,4,15,3,2,0.53,0,0,3,530,471,0.89,4,5,12,3,9,3,8,9,1,0.47,0,0,1,438,382,0.87
0,1,1,9,14,4,8,6,21,6,2,0.37,1,0,4,338,235,0.7,1,2,3,5,12,4,4,8,16,5,2,0.49,0,0,2,473,377,0.8,0,1,1,6,14,7,5,9,17,4,2,0.6,4,0,4,469,394,0.84,5,4,14,5,8,6,11,8,2,0.4,3,1,1,318,210,0.66
0,3,2,3,7,2,4,3,13,4,1,0.4,4,1,3,420,331,0.79,1,0,0,2,4,2,1,3,20,1,1,0.36,2,0,2,306,222,0.73,2,0,6,7,14,1,9,5,12,5,4,0.6,2,0,1,523,449,0.86,1,9,13,3,6,7,16,7,0,0.4,4,1,4,349,269,0.77
3,2,6,5,12,1,4,8,15,3,0,0.27,0,0,2,269,197,0.73,0,0,2,6,11,3,4,7,17,4,3,0.53,1,0,6,488,405,0.83,3,1,4,3,10,3,3,7,15,3,1,0.42,2,0,5,386,295,0.76,8,7,16,1,8,8,10,4,0,0.58,1,0,3,534,456,0.85
2,0,2,6,8,0,4,4,18,1,2,0.49,2,0,4,518,437,0.84,1,1,4,3,11,4,3,8,10,2,1,0.56,1,0,1,481,390,0.81,0,0,3,2,6,1,5,1,19,2,0,0.33,2,0,3,332,216,0.65,3,3,11,5,5,6,10,9,3,0.67,2,0,3,671,561,0.84
2,1,4,4,16,8,8,8,23,3,2,0.51,3,0,1,411,317,0.77,2,1,3,7,13,3,10,3,18,6,1,0.49,1,0,4,393,302,0.77,2,1,4,4,16,8,8,8,23,3,2,0.51,3,0,1,411,317,0.77,3,7,13,3,10,3,18,6,1,0.49,1,0,4,393,302,0.77
2,3,6,2,9,1,6,3,15,6,1,0.54,2,0,3,452,365,0.81,0,1,3,3,7,1,5,2,13,4,1,0.5,5,0,2,409,324,0.79,5,1,3,10,14,1,6,8,10,6,1,0.56,4,0,6,449,373,0.83,10,2,15,3,12,4,15,8,2,0.44,1,0,3,364,294,0.81
3,1,7,11,23,5,12,11,14,5,0,0.6,1,0,1,628,576,0.92,1,3,6,7,16,3,9,7,16,6,2,0.53,3,0,1,481,406,0.84,1,1,4,5,10,1,8,2,16,4,6,0.25,5,0,3,257,153,0.6,4,5,12,3,8,4,10,5,4,0.75,2,0,3,773,657,0.85
0,1,3,4,9,2,4,5,15,3,2,0.47,3,0,2,462,375,0.81,2,1,4,3,9,2,3,6,9,9,1,0.3,0,0,7,348,255,0.73,4,1,2,5,11,4,8,3,20,10,1,0.61,2,0,5,483,376,0.78,8,4,14,2,11,4,16,3,1,0.39,1,0,1,318,210,0.66
1,2,5,6,12,1,5,7,9,6,1,0.51,2,0,0,475,380,0.8,2,0,2,7,16,7,9,7,5,11,3,0.72,1,0,4,591,523,0.88,2,1,1,6,7,0,5,2,13,3,2,0.39,3,0,1,295,215,0.73,3,7,14,4,5,9,11,7,2,0.61,2,0,0,472,372,0.79
1,2,2,3,10,5,4,6,18,4,1,0.49,6,0,5,456,379,0.83,2,1,5,2,10,3,7,3,18,0,2,0.43,3,0,3,405,297,0.73,6,2,7,5,17,5,11,6,10,5,7,0.59,1,0,0,575,476,0.83,2,3,7,2,3,4,8,2,0,0.41,1,0,2,394,300,0.76
2,2,5,8,17,4,10,7,7,4,5,0.55,2,0,3,550,468,0.85,3,1,2,5,15,8,12,3,10,4,3,0.4,4,1,4,405,341,0.84,1,2,12,10,28,6,14,14,15,10,4,0.61,3,0,5,505,414,0.82,7,1,11,3,6,5,17,4,3,0.39,4,0,11,320,232,0.73
2,1,2,2,6,2,4,2,17,1,1,0.44,2,0,1,410,300,0.73,2,0,2,6,10,2,8,2,13,9,1,0.57,1,0,1,502,427,0.85,0,2,5,8,19,6,15,4,14,7,2,0.37,2,2,2,374,316,0.84,4,6,14,4,9,5,9,5,1,0.63,0,0,5,635,584,0.92
0,2,5,7,14,2,9,5,18,7,0,0.59,1,0,3,504,424,0.84,1,3,2,5,10,3,5,5,18,4,2,0.47,2,0,3,435,371,0.85,0,0,0,6,6,0,3,3,15,4,2,0.37,2,1,3,351,258,0.74,3,6,12,3,4,8,11,4,1,0.63,0,0,0,610,513,0.84
0,2,5,8,19,6,15,4,11,6,0,0.64,4,0,1,548,455,0.83,1,4,6,2,12,4,10,2,12,4,4,0.64,1,0,6,658,575,0.87,1,1,2,5,8,1,5,3,14,3,0,0.29,3,0,9,277,175,0.63,9,7,27,11,16,11,10,13,3,0.71,0,0,1,684,583,0.85
5,0,2,4,7,1,4,3,16,1,1,0.36,3,0,4,354,265,0.75,2,3,5,5,12,2,9,3,18,7,0,0.46,4,0,3,380,291,0.77,3,3,6,3,13,4,5,8,14,3,4,0.61,1,0,2,521,427,0.82,5,4,16,7,12,4,22,4,0,0.39,6,1,3,332,256,0.77
3,2,5,2,7,0,4,3,15,3,4,0.29,1,0,2,265,197,0.74,0,3,3,4,9,2,4,5,10,3,3,0.59,0,0,3,690,607,0.88,0,2,3,2,6,1,4,2,16,1,1,0.28,2,0,2,249,151,0.61,2,10,13,1,9,4,18,7,0,0.72,5,0,1,646,535,0.83
5,0,1,4,7,2,5,2,5,2,2,0.25,0,0,9,271,203,0.75,2,0,4,12,23,7,12,11,10,6,1,0.67,2,0,3,570,453,0.79,1,3,8,3,13,2,11,2,14,4,5,0.36,1,0,5,344,224,0.65,6,9,16,1,7,9,13,8,2,0.64,1,0,5,619,502,0.81
3,3,8,5,17,4,9,8,16,4,1,0.57,3,0,4,575,509,0.89,2,1,5,6,11,0,4,7,15,4,4,0.57,7,2,4,371,294,0.79,1,1,3,7,10,0,5,5,11,5,1,0.66,3,0,1,643,555,0.86,2,6,10,2,7,3,15,3,0,0.34,3,0,2,340,249,0.73
1,4,7,5,12,0,10,2,14,4,6,0.51,1,0,1,440,330,0.75,5,0,9,7,19,3,12,7,10,10,3,0.64,1,0,2,634,542,0.85,1,1,5,6,14,3,13,1,16,7,2,0.45,2,0,1,422,354,0.84,3,4,11,4,8,3,19,5,1,0.55,4,0,4,542,461,0.85
0,2,8,10,29,11,17,12,9,5,1,0.73,1,0,0,624,561,0.9,4,1,4,4,11,3,4,7,7,3,2,0.44,2,0,3,382,319,0.84,1,0,5,9,15,1,6,9,23,4,1,0.53,1,0,0,520,427,0.82,0,2,4,2,2,2,17,3,1,0.47,5,0,4,440,343,0.78
3,0,6,7,16,3,9,7,15,5,6,0.53,0,0,3,593,501,0.84,0,3,6,4,13,3,7,6,11,5,2,0.6,1,0,2,618,522,0.84,4,1,6,6,15,3,10,5,12,2,3,0.34,3,1,4,292,225,0.77,5,6,18,7,11,7,15,12,0,0.66,4,0,2,561,478,0.85
2,2,5,3,15,7,12,3,13,10,7,0.41,1,0,5,378,305,0.81,2,0,8,12,26,6,22,4,13,10,0,0.73,4,0,0,566,499,0.88,1,4,4,6,17,7,14,3,10,9,4,0.42,2,0,2,428,351,0.82,6,14,23,3,15,8,12,5,7,0.58,0,0,3,582,516,0.89
1,4,2,6,13,5,9,4,13,4,2,0.49,1,0,3,417,302,0.72,1,0,4,9,14,1,8,6,11,9,1,0.54,2,0,3,416,319,0.77,3,1,4,4,9,1,5,4,16,2,6,0.53,4,0,2,428,304,0.71,5,5,12,2,10,2,9,2,4,0.47,1,0,3,384,279,0.73
0,1,2,5,9,2,5,4,10,6,6,0.5,4,0,2,405,310,0.77,2,0,2,6,8,0,4,4,18,1,2,0.49,2,0,4,518,437,0.84,2,1,5,4,13,4,7,6,10,3,0,0.56,2,0,4,484,373,0.77,6,5,12,1,7,5,13,4,1,0.44,1,0,4,380,283,0.74
1,0,1,0,1,0,0,1,19,4,2,0.39,2,0,3,267,158,0.59,1,2,4,9,15,2,8,7,8,7,2,0.6,3,0,3,480,371,0.77,1,1,2,3,8,3,3,5,14,2,4,0.5,5,0,5,409,318,0.78,6,7,16,3,12,4,16,6,4,0.5,3,0,1,415,329,0.79
2,0,3,3,9,3,7,3,0,4,1,0.49,1,0,1,415,306,0.74,2,2,6,5,13,2,9,4,0,6,1,0.5,2,0,5,360,269,0.75,1,3,3,4,10,3,4,6,0,4,1,0.6,2,0,2,551,435,0.79,5,4,13,4,8,5,0,6,3,0.4,5,0,2,360,259,0.72
1,1,4,3,11,4,3,8,10,2,1,0.56,1,0,1,481,390,0.81,2,0,6,2,11,3,5,6,13,1,3,0.51,2,0,2,557,471,0.85,3,0,3,3,13,7,7,6,13,7,6,0.47,3,0,1,457,333,0.73,5,4,9,0,5,4,13,2,0,0.53,3,0,3,540,426,0.79
5,0,9,7,19,3,12,7,10,10,3,0.64,1,0,2,634,542,0.85,1,4,3,7,17,7,12,5,10,8,2,0.45,3,0,2,364,263,0.72,0,3,6,10,17,1,14,3,6,5,3,0.81,0,0,1,861,778,0.9,1,1,4,2,2,2,18,2,2,0.19,3,0,3,202,129,0.64
1,0,4,7,16,5,13,3,17,7,5,0.61,3,0,1,425,305,0.72,3,3,8,5,17,4,9,8,16,4,1,0.57,3,0,4,575,509,0.89,1,1,6,3,11,2,8,3,18,4,5,0.32,3,0,0,284,204,0.72,1,0,5,4,1,4,17,6,2,0.68,3,0,5,636,545,0.86
1,0,6,3,16,7,10,6,12,7,1,0.55,3,0,0,488,400,0.82,2,3,6,2,9,1,6,3,15,6,1,0.54,2,0,3,452,365,0.81,3,2,3,1,9,5,8,1,20,4,2,0.37,6,1,2,306,213,0.7,6,6,15,3,11,4,17,8,2,0.63,4,0,1,539,439,0.81
0,3,6,5,17,6,13,4,0,9,4,0.67,1,0,1,627,551,0.88,2,2,7,12,27,8,16,11,0,7,0,0.5,0,0,3,342,245,0.72,2,5,12,2,27,13,23,4,0,5,2,0.58,1,0,5,532,456,0.86,7,6,16,3,11,5,0,6,0,0.42,1,0,6,360,280,0.78
1,3,1,3,6,2,5,1,0,1,2,0.38,3,1,1,326,236,0.72,0,0,4,4,13,5,5,8,0,8,2,0.48,1,0,3,407,304,0.75,1,0,4,4,12,4,6,6,0,5,3,0.43,2,0,5,323,237,0.73,6,6,21,9,8,13,0,6,3,0.57,1,0,4,436,358,0.82
1,1,2,6,12,4,6,6,14,7,0,0.44,3,0,3,388,301,0.78,1,4,7,5,12,0,10,2,14,4,6,0.51,1,0,1,440,330,0.75,3,2,2,2,4,0,3,1,17,3,1,0.36,4,0,2,359,277,0.77,5,5,17,7,10,7,16,10,4,0.64,3,0,0,630,558,0.89
2,1,5,6,11,0,4,7,15,4,4,0.57,7,2,4,371,294,0.79,1,4,2,6,13,5,9,4,13,4,2,0.49,1,0,3,417,302,0.72,0,0,3,0,3,0,2,1,7,2,4,0.38,1,0,1,329,218,0.66,1,2,8,5,4,4,14,7,1,0.62,1,0,3,525,402,0.77
1,0,4,4,14,6,9,5,16,6,1,0.46,6,0,4,365,272,0.75,2,2,4,3,8,1,4,4,16,1,1,0.51,4,1,0,525,433,0.82,0,3,5,9,14,0,12,2,13,6,0,0.54,3,0,6,432,346,0.8,6,5,14,3,7,7,13,4,1,0.46,3,0,2,381,298,0.78
1,0,4,9,14,1,8,6,11,9,1,0.54,2,0,3,416,319,0.77,2,3,5,5,12,2,9,3,18,7,0,0.46,4,0,3,380,291,0.77,1,0,4,5,14,5,9,5,12,7,0,0.61,2,0,0,510,398,0.78,1,3,6,2,6,0,14,3,2,0.39,3,0,4,336,219,0.65
1,4,6,2,12,4,10,2,12,4,4,0.64,1,0,6,658,575,0.87,2,0,7,6,15,2,13,2,15,8,0,0.45,3,0,4,352,254,0.72,2,1,9,6,19,4,14,5,13,9,3,0.56,2,0,2,478,366,0.77,3,2,5,0,4,1,13,0,3,0.44,2,0,7,385,254,0.66
1,4,6,5,12,1,9,3,13,2,4,0.55,3,0,2,486,379,0.78,6,1,2,2,5,1,5,0,12,3,2,0.27,3,0,4,242,163,0.67,1,3,9,2,14,3,13,1,14,2,5,0.51,1,0,6,442,355,0.8,7,8,16,1,11,5,16,12,1,0.49,2,0,6,413,323,0.78
2,2,6,6,15,3,11,4,5,3,2,0.45,1,0,3,435,359,0.83,0,2,8,10,29,11,17,12,9,5,1,0.73,1,0,0,624,561,0.9,2,0,0,5,8,3,4,4,23,8,2,0.49,5,1,1,483,402,0.83,3,7,15,5,10,5,8,3,2,0.51,3,0,0,526,461,0.88
0,3,3,4,10,3,4,6,11,2,3,0.41,2,0,0,471,398,0.85,3,0,6,7,16,3,9,7,15,5,6,0.53,0,0,3,593,501,0.84,3,0,3,5,11,3,9,2,14,4,1,0.47,0,0,3,520,436,0.84,6,7,16,3,9,7,15,5,6,0.53,0,0,3,593,501,0.84
2,3,6,2,9,1,6,3,15,6,1,0.54,2,0,3,452,365,0.81,1,0,1,0,1,0,0,1,19,4,2,0.39,2,0,3,267,158,0.59,0,2,6,4,18,8,13,5,11,9,3,0.64,1,0,4,560,489,0.87,4,4,10,2,3,7,9,5,1,0.36,0,0,3,321,239,0.74
0,1,4,6,13,3,5,8,12,4,1,0.52,5,1,2,453,326,0.72,1,2,4,4,9,1,5,4,8,4,1,0.41,1,0,6,381,267,0.7,1,1,5,5,16,6,11,5,9,7,0,0.53,1,0,1,546,456,0.84,2,9,12,1,6,6,12,5,1,0.47,1,0,4,483,399,0.83
2,2,5,5,14,4,6,8,8,3,3,0.38,0,0,8,389,315,0.81,0,2,5,8,19,6,15,4,11,6,0,0.64,4,0,1,548,455,0.83,3,0,4,10,15,1,8,7,16,7,1,0.41,2,0,2,329,248,0.75,4,4,9,1,5,4,15,6,0,0.59,0,0,1,468,382,0.82
2,0,4,12,23,7,12,11,10,6,1,0.67,2,0,3,570,453,0.79,1,1,8,5,18,5,11,7,9,6,0,0.5,1,0,2,422,315,0.75,0,0,3,10,15,2,9,6,14,5,1,0.67,3,0,0,529,415,0.78,0,4,6,2,3,3,16,3,3,0.33,6,1,3,250,126,0.5
3,1,9,2,13,2,9,4,14,3,4,0.29,3,0,2,241,157,0.65,3,1,5,6,15,4,11,4,7,6,5,0.71,1,0,8,625,514,0.82,3,1,9,2,13,2,9,4,14,3,4,0.29,3,0,2,241,157,0.65,5,6,15,4,11,4,7,6,5,0.71,1,0,8,625,514,0.82
5,1,9,4,14,1,12,2,6,1,1,0.6,1,0,4,698,606,0.87,5,1,5,5,11,1,6,5,7,3,5,0.4,1,0,4,455,386,0.85,5,1,9,4,14,1,12,2,6,1,1,0.6,1,0,4,698,606,0.87,5,5,11,1,6,5,7,3,5,0.4,1,0,4,455,386,0.85
1,0,2,1,9,6,4,5,0,5,5,0.44,2,0,1,352,256,0.73,5,1,1,3,5,1,1,4,0,7,1,0.46,1,0,6,451,355,0.79,2,0,2,3,9,4,3,6,0,3,4,0.47,6,1,3,416,317,0.76,5,4,15,6,7,8,0,7,2,0.53,2,0,2,463,362,0.78
1,4,7,5,12,0,10,2,14,4,6,0.51,1,0,1,440,330,0.75,1,0,6,3,16,7,10,6,12,7,1,0.55,3,0,0,488,400,0.82,2,1,5,8,22,9,9,13,18,11,5,0.72,2,0,3,602,539,0.9,5,2,8,1,6,2,13,3,2,0.28,5,0,3,245,175,0.71
0,3,6,4,13,3,7,6,11,5,2,0.6,1,0,2,618,522,0.84,2,1,2,2,6,2,4,2,17,1,1,0.44,2,0,1,410,300,0.73,1,2,7,4,18,7,14,4,10,6,4,0.56,1,0,2,531,454,0.85,3,9,14,2,7,7,18,2,1,0.44,0,0,5,418,336,0.8
1,2,7,8,20,5,9,11,8,9,3,0.59,0,0,2,546,439,0.8,0,4,11,6,20,3,16,4,15,4,3,0.68,1,0,1,689,603,0.88,2,0,3,4,10,3,4,6,9,6,3,0.32,2,0,6,275,174,0.63,8,6,18,4,11,7,7,12,3,0.68,2,0,3,577,497,0.86
3,3,8,5,17,4,9,8,16,4,1,0.57,3,0,4,575,509,0.89,1,1,4,3,11,4,3,8,10,2,1,0.56,1,0,1,481,390,0.81,1,0,3,6,11,2,6,5,11,5,1,0.69,1,0,2,646,547,0.85,3,9,16,4,9,7,15,8,2,0.31,2,0,3,287,199,0.69
2,1,4,7,16,5,6,10,15,3,1,0.63,0,0,7,552,453,0.82,3,2,5,2,7,0,4,3,15,3,4,0.29,1,0,2,265,197,0.74,0,1,2,2,10,6,7,3,10,9,4,0.45,0,0,1,402,322,0.8,2,2,4,0,2,2,12,4,2,0.55,1,0,2,514,404,0.79
