score.fulltime.home (home 1),score.fulltime.away (home 1),Shots on Goal (home 1),Shots off Goal (home 1),Total Shots (home 1),Blocked Shots (home 1),Shots insidebox (home 1),Shots outsidebox (home 1),Fouls (home 1),Corner Kicks (home 1),Offsides (home 1),Ball Possession (home 1),Yellow Cards (home 1),Red Cards (home 1),Goalkeeper Saves (home 1),Total passes (home 1),Passes accurate (home 1),Passes % (home 1),score.fulltime.home (away 1),score.fulltime.away (away 1),Shots on Goal (away 1),Shots off Goal (away 1),Total Shots (away 1),Blocked Shots (away 1),Shots insidebox (away 1),Shots outsidebox (away 1),Fouls (away 1),Corner Kicks (away 1),Offsides (away 1),Ball Possession (away 1),Yellow Cards (away 1),Red Cards (away 1),Goalkeeper Saves (away 1),Total passes (away 1),Passes accurate (away 1),Passes % (away 1),score.fulltime.home (h2h 1),score.fulltime.away (h2h 1),Shots on Goal (h2h - home 1),Shots off Goal (h2h - home 1),Total Shots (h2h - home 1),Blocked Shots (h2h - home 1),Shots insidebox (h2h - home 1),Shots outsidebox (h2h - home 1),Fouls (h2h - home 1),Corner Kicks (h2h - home 1),Offsides (h2h - home 1),Ball Possession (h2h - home 1),Yellow Cards (h2h - home 1),Red Cards (h2h - home 1),Goalkeeper Saves (h2h - home 1),Total passes (h2h - home 1),Passes accurate (h2h - home 1),Passes % (h2h - home 1),Shots on Goal (h2h - away 1),Shots off Goal (h2h - away 1),Total Shots (h2h - away 1),Blocked Shots (h2h - away 1),Shots insidebox (h2h - away 1),Shots outsidebox (h2h - away 1),Fouls (h2h - away 1),Corner Kicks (h2h - away 1),Offsides (h2h - away 1),Ball Possession (h2h - away 1),Yellow Cards (h2h - away 1),Red Cards (h2h - away 1),Goalkeeper Saves (h2h - away 1),Total passes (h2h - away 1),Passes accurate (h2h - away 1),Passes % (h2h - away 1)
2,2,4,4,12,4,10,2,13,7,2,0.7,3,0,0,712,604,0.85,0,0,0,10,15,5,7,8,16,9,1,0.69,2,0,1,676,595,0.88,2,1,3,3,8,2,5,3,11,3,0,0.59,0,0,3,586,490,0.84,5,3,10,2,5,5,12,1,0,0.41,3,0,2,425,339,0.8
1,2,11,10,23,2,14,9,9,8,4,0.74,1,0,5,708,618,0.87,2,1,8,5,17,4,14,3,12,8,3,0.47,3,1,1,421,347,0.82,6,0,7,11,18,0,13,5,4,11,2,0.74,1,0,0,681,602,0.88,0,0,1,1,0,1,9,1,0,0.26,2,0,2,229,144,0.63
2,2,5,5,14,4,6,8,8,3,3,0.38,0,0,8,389,315,0.81,2,1,3,8,14,3,8,6,9,7,2,0.47,1,0,5,382,326,0.85,1,2,5,6,13,2,7,6,0,4,1,0.31,5,0,4,248,132,0.53,5,7,13,1,7,6,0,6,3,0.69,2,0,3,558,445,0.8
1,2,5,6,18,7,10,8,12,1,1,0.49,3,0,3,466,356,0.76,2,1,8,2,17,7,12,5,12,7,4,0.55,1,0,6,483,368,0.76,1,2,5,6,18,7,10,8,12,1,1,0.49,3,0,3,466,356,0.76,5,4,11,2,5,6,16,3,6,0.51,2,0,4,478,385,0.81
1,1,4,5,11,2,6,5,17,8,1,0.45,3,1,5,341,259,0.76,1,2,3,5,13,5,9,4,14,2,4,0.48,3,0,3,500,407,0.81,4,0,5,9,14,0,7,7,9,3,3,0.52,0,0,1,423,340,0.8,1,3,5,1,3,2,19,3,2,0.48,2,1,1,387,311,0.8
1,2,7,2,11,2,5,6,16,2,4,0.26,3,1,10,241,161,0.67,1,1,6,6,12,0,12,0,12,2,2,0.51,2,0,2,504,403,0.8,0,0,2,11,20,7,13,7,9,19,4,0.75,2,0,1,632,547,0.87,1,4,6,1,5,1,12,0,4,0.25,2,0,2,219,137,0.63
1,5,5,6,12,1,11,1,14,3,2,0.37,3,1,8,306,229,0.75,1,1,8,5,18,5,11,7,9,6,0,0.5,1,0,2,422,315,0.75,2,1,2,6,11,3,7,4,26,4,3,0.56,3,0,3,350,261,0.75,5,4,12,3,6,6,25,4,3,0.44,4,0,1,278,170,0.61
0,2,3,2,6,1,4,2,16,1,1,0.28,2,0,2,249,151,0.61,2,1,4,1,8,3,5,3,15,4,0,0.54,3,0,4,526,435,0.83,1,2,8,6,19,5,8,11,14,4,0,0.48,2,0,2,432,357,0.83,3,4,11,4,7,4,12,3,2,0.52,3,0,6,476,394,0.83
1,2,5,1,7,1,5,2,10,2,0,0.52,2,1,2,543,445,0.82,2,0,2,7,13,4,7,6,7,6,2,0.63,1,0,4,612,486,0.79,1,0,7,4,16,5,14,2,13,10,4,0.54,1,0,2,484,387,0.8,3,7,14,4,11,3,16,8,1,0.46,2,0,6,403,307,0.76
0,2,2,10,13,1,9,4,18,7,0,0.72,5,0,1,646,535,0.83,1,2,5,5,12,2,9,3,12,1,1,0.46,1,0,7,394,297,0.75,2,1,7,8,16,1,7,9,18,2,1,0.66,3,1,2,611,523,0.86,3,6,10,1,6,4,16,1,1,0.34,2,1,6,293,212,0.72
2,1,4,7,16,5,6,10,15,3,1,0.63,0,0,7,552,453,0.82,1,2,8,7,24,9,21,3,9,6,0,0.54,0,0,3,475,393,0.83,2,1,3,7,14,4,8,6,10,2,0,0.29,1,0,6,286,222,0.78,9,4,18,5,12,6,5,7,2,0.71,2,0,2,727,649,0.89
1,3,3,1,8,4,7,1,18,7,0,0.65,2,0,1,560,453,0.81,1,3,3,2,7,2,5,2,21,2,2,0.35,3,0,2,299,206,0.69,1,3,3,1,8,4,7,1,18,7,0,0.65,2,0,1,560,453,0.81,3,2,7,2,5,2,21,2,2,0.35,3,0,2,299,206,0.69
0,3,4,5,12,3,9,3,14,6,1,0.43,1,0,10,381,292,0.77,2,1,5,6,13,2,8,5,6,1,1,0.45,0,0,2,501,439,0.88,0,2,3,2,10,5,5,5,16,8,1,0.36,1,0,4,385,318,0.83,6,5,15,4,9,6,5,5,3,0.64,0,0,3,710,649,0.91
0,1,1,9,14,4,8,6,21,6,2,0.37,1,0,4,338,235,0.7,2,1,2,2,6,2,4,2,17,1,1,0.44,2,0,1,410,300,0.73,1,1,4,5,13,4,10,3,15,2,1,0.42,3,1,6,310,206,0.66,8,1,12,3,8,4,14,6,2,0.58,2,0,3,427,308,0.72
1,1,6,2,9,1,6,3,9,4,1,0.35,2,0,5,300,223,0.74,0,0,0,3,4,1,2,2,17,5,3,0.44,1,2,1,389,304,0.78,1,1,1,1,3,1,2,1,11,3,2,0.29,3,0,5,270,194,0.72,6,4,12,2,9,3,11,7,1,0.71,1,0,1,653,578,0.89
0,2,6,1,9,2,6,3,23,1,3,0.31,5,1,9,217,130,0.6,0,2,9,4,17,4,12,5,13,12,2,0.69,3,0,4,458,365,0.8,0,2,6,1,9,2,6,3,23,1,3,0.31,5,1,9,217,130,0.6,9,4,17,4,12,5,13,12,2,0.69,3,0,4,458,365,0.8
2,2,2,3,5,0,2,3,13,1,0,0.3,3,0,3,313,215,0.69,1,0,0,2,4,2,1,3,20,1,1,0.36,2,0,2,306,222,0.73,2,0,1,4,9,4,4,5,11,9,3,0.54,2,0,4,418,332,0.79,6,3,11,2,6,5,14,5,1,0.46,3,0,1,384,293,0.76
0,0,6,5,13,2,7,6,7,6,2,0.61,1,0,1,445,300,0.67,1,1,6,5,13,2,9,4,15,4,0,0.55,8,1,3,433,351,0.81,2,3,4,2,9,3,5,4,13,3,0,0.41,3,0,2,370,264,0.71,4,6,12,2,8,4,16,3,4,0.59,1,0,1,559,441,0.79
